№ п/п;Наименование;Координата Х;Координата У;Адрес
1;Кафе «Магистраль» со стоянкой;;;Костромская область, Шарьинский район Варакинское с/п, 112 км+790 м автодороги Урень-Шарья-Никольск-Котлас
2;Кафе «Макарыч» со стоянкой;;;Костромская область, Шарьинский район, Зебляковское с/п, автодорога «Обход г.Шарья» (1км+600м)
3;Кафе «У Николаевича» со стоянкой;;;Костромская область, Шарьинский районЗебляковское с/п автодорога Шарья-Пустошка 3 км Обход г.Шарья
