№;Наименование поля;Описание;Формат значения поля
1;№;Порядковый номер;xsd:integer
2;Наименование;;xsd:string
3;Режим работы;;xsd:string
4;Координата Х;;xsd:double
5;Координата Y;;xsd:double
6;Адрес;;xsd:string
