№ п/п;Наименование;Режим работы;Координата Х;Координата У;Адрес
1;ФГКУ «3 ОФПС» по Костромской области;Органы управления: с 8.00 до 17.00. Дежурная служба: суточная, сменная;;;Костромская область, г. Шарья, ул. Ленина, 19
2;Поисково-спасательный отряд № 5;Органы управления: с 8.00 до 17.00. Дежурная служба: суточная, сменная;;;Костромская область, г. Шарья, ул. Молодежная, 61
