№;Наименование поля;Описание;Формат значения поля
1;№ п/п;Порядковый номер;xsd:integer
2;Наименование маршрута;;xsd:string
3;Номер маршрута;;xsd:string
4;Вид транспортa;;xsd:string
5;Наименования промежуточных  остановочных пунктов по маршруту или наименования поселений, в границах которых расположены промежуточные остановочные пункты;;xsd:string
6;Координата Х;;xsd:double
7;Координата Y;;xsd:double
